date,smirk_norm_7d,dte_used_7d,smirk_norm_14d,dte_used_14d,smirk_norm_21d,dte_used_21d,smirk_norm_28d,dte_used_28d,signal_pct,ret_mtf,correct_pct
2020-01-06,0.8554465185224485,4.0,0.47663703677868413,11.0,0.26745070051587067,18.0,0.12176160606836867,25.0,PUT,0.014525561214865134,0.0
2020-01-07,0.33350180338839985,10.0,0.18885306141796698,17.0,0.07491183940482637,24.0,0.08236218358781312,31.0,PUT,0.02386089605279852,0.0
2020-01-13,0.657980312897872,4.0,0.3221257677304664,11.0,0.084202673745985,18.0,0.07373775159057008,25.0,PUT,0.023395394414502654,0.0
2020-01-14,0.26354287258864273,10.0,0.0526229555881722,17.0,0.05661422369423039,24.0,0.04464708492265755,31.0,NO_TRADE,0.030654413125269838,
2020-01-21,0.06560748173681706,10.0,0.06910151986442933,17.0,0.07294712869842963,24.0,0.10734628325320462,31.0,NO_TRADE,-0.008768768768768817,
2020-01-27,0.019986008861182798,4.0,0.03878406669654116,11.0,0.04872792863873883,18.0,0.10096739974643365,25.0,NO_TRADE,0.04898940103524765,
2020-01-28,0.04935280775221957,10.0,0.06770441999831842,17.0,0.09801699892827936,24.0,0.11941079158373238,31.0,NO_TRADE,0.028828719932309812,
2020-02-03,0.4012922908667663,4.0,0.23434940337747742,11.0,0.27120078214539517,18.0,0.24015930977634506,25.0,PUT,0.054536070650303886,0.0
2020-02-04,0.16715347634800357,10.0,0.21585904847334159,17.0,0.1905272658100474,24.0,0.18905787500624635,31.0,NO_TRADE,0.02093049078392173,
2020-02-10,0.05688690728599807,4.0,0.11361589224429132,11.0,0.11041873170573017,18.0,0.08212166796442869,25.0,NO_TRADE,-0.017753047164811842,
2020-02-11,0.09825373178077536,10.0,0.07850414601211533,17.0,0.071225606750967,24.0,0.07388254866686919,31.0,NO_TRADE,0.0049338538278030615,
2020-02-18,0.26329738111209444,10.0,0.18638345237335469,17.0,0.1395033891475821,24.0,0.10133762867119907,31.0,NO_TRADE,-0.046146450889280495,
2020-02-24,0.17200399062092925,4.0,0.05663027592394489,11.0,0.06944614982212607,18.0,0.0623037407163713,25.0,NO_TRADE,-0.05196325121423136,
2020-02-25,0.08474644727141596,10.0,0.05023117683567808,17.0,0.046131581095418914,24.0,0.017477168633720803,31.0,NO_TRADE,-0.03605640506931637,
2020-03-02,0.18348951035770864,4.0,0.1564211319907592,11.0,0.08806099884191805,18.0,0.14118307413598352,25.0,NO_TRADE,-0.0649343133283176,
2020-03-03,0.12831401097875175,10.0,0.12919584356362052,17.0,0.10052074352698279,24.0,0.07737510219593303,31.0,NO_TRADE,-0.017871254027110803,
2020-03-09,-0.2849843157041419,4.0,-0.07560193790658198,11.0,-0.08328594508851657,18.0,-0.1765605966797159,25.0,CALL,0.054508033461691724,1.0
2020-03-10,0.13118328691498307,10.0,0.09229649609942586,17.0,0.11055015473624179,24.0,0.08184837572146057,30.0,NO_TRADE,-0.012987820034799745,
2020-03-16,0.06605137856041625,4.0,0.07805056331666656,11.0,0.09085806022376675,24.0,,,NO_TRADE,0.014251956874907747,
2020-03-17,0.20229942570867476,10.0,0.10776079240439741,17.0,0.13821528861575036,23.0,0.0448602544824283,31.0,NO_TRADE,-0.06290509654090196,
2020-03-23,0.21900171317039532,4.0,-0.0020004394535834413,11.0,,,0.11155559955785599,25.0,NO_TRADE,0.10089719076334755,
2020-03-24,0.29584570799211124,10.0,0.29518511186946506,16.0,0.35638174932992683,24.0,0.1053010003780881,31.0,PUT,0.009168127275178543,0.0
2020-03-30,0.03030111677308876,4.0,,,0.13060387311493468,18.0,0.09707749593874536,25.0,NO_TRADE,-0.03994258253760206,
2020-03-31,0.06002190259987735,9.0,0.05689317511615848,17.0,0.023288222401061813,24.0,0.03521631290084179,31.0,NO_TRADE,-0.024602117811172376,
2020-04-06,,,0.21175106728412102,11.0,0.19257977740066223,18.0,0.10996336173588699,25.0,NO_TRADE,-0.0007865916379259628,
2020-04-07,0.1626449972177942,10.0,0.10941450756875434,17.0,0.0938590061892203,24.0,0.10534509078737506,31.0,NO_TRADE,0.010092360389014478,
2020-04-13,0.23964438963152496,4.0,0.18267758283080404,11.0,0.09953240633670644,18.0,0.09911847834172356,25.0,NO_TRADE,0.07908887680502691,
2020-04-14,0.17406341513485335,10.0,0.07481547765932757,17.0,0.1193096896706575,24.0,0.15069225422669255,31.0,NO_TRADE,0.02820955670696607,
2020-04-20,-0.004819331479108268,4.0,-0.010822851678734336,11.0,0.05809718471879093,18.0,0.03986304489589066,25.0,CALL,-0.0029132868730720376,0.0
2020-04-21,-0.00027858004450165383,10.0,0.06168599942924471,17.0,0.061447318266223676,24.0,0.09645901094944843,31.0,CALL,0.040102490763913826,1.0
2020-04-27,-0.04987605952976582,4.0,0.047817563431805044,11.0,0.06527436577832112,18.0,0.12007893238188451,25.0,CALL,0.02964665326055729,1.0
2020-04-28,0.0035687746130256704,10.0,0.026572913036894973,17.0,0.10252407767770234,24.0,0.1104653474554292,31.0,CALL,0.05535598610211416,1.0
