date,smirk_norm_7d,dte_used_7d,smirk_norm_14d,dte_used_14d,smirk_norm_21d,dte_used_21d,smirk_norm_28d,dte_used_28d,signal_pct,ret_mtf,correct_pct
2020-01-06,0.9376969146908619,9.0,0.8756010260503787,11.0,0.6142139536163607,23.0,0.6322539576206071,28.0,PUT,0.005874416254913226,0.0
2020-01-07,0.9668338668444735,8.0,0.7460567637511288,15.0,0.5532338052445648,24.0,0.5570820732317568,31.0,PUT,0.00870201842344265,0.0
2020-01-13,0.7424229614660572,4.0,0.7300981179723209,16.0,0.7038695832326669,21.0,0.6316495075386721,28.0,NO_TRADE,0.012618114247307674,
2020-01-14,0.8187461562441787,7.0,0.5696333204360325,15.0,0.5263393004355033,22.0,0.4836949892606608,29.0,NO_TRADE,0.014154089822274278,
2020-01-21,1.3374544120787148,6.0,0.7466909839019296,15.0,0.682976859019458,22.0,0.6689961837111209,28.0,PUT,-0.007624691714923306,1.0
2020-01-27,0.8027204126166319,9.0,0.6507874986386852,14.0,0.48286043463336137,22.0,0.4948608851016497,28.0,NO_TRADE,-0.005583250864001173,
2020-01-28,0.5463822214659833,6.0,0.449469282472082,13.0,0.4333923128895381,22.0,0.4112789540765118,27.0,NO_TRADE,-0.01548116133128214,
2020-02-03,0.24884288868084847,4.0,0.46080651016570084,15.0,0.4268901808063985,18.0,0.4068120070988324,30.0,NO_TRADE,0.024251135762037836,
2020-02-04,0.4367961437698275,8.0,0.45565277630732054,15.0,0.43669367864640274,20.0,0.29814266655291616,31.0,NO_TRADE,0.009133943273724111,
2020-02-10,0.5042160623836597,4.0,0.6624807896204473,11.0,0.6037209505819513,18.0,0.4900391047923097,30.0,NO_TRADE,0.008373880176248164,
2020-02-11,0.8472951202779935,10.0,0.7983456125179929,13.0,0.7438996594196996,20.0,0.5589006319806161,27.0,PUT,0.00667411212865754,0.0
2020-02-18,0.9139897197696306,8.0,0.8913723364162717,13.0,0.6419266623862517,20.0,0.5715840399975808,29.0,PUT,-0.009654955508279692,1.0
2020-02-24,0.3814175952607974,7.0,0.1763660060459896,11.0,0.36694786710633975,21.0,0.2825524773571914,25.0,NO_TRADE,-0.08421551881806263,
2020-02-25,0.21472055706935084,10.0,0.13168263216587625,15.0,0.1203017916728064,20.0,0.15518529009341656,27.0,NO_TRADE,-0.055619667477567115,
2020-03-02,0.4699071602404608,4.0,0.5740265148506251,11.0,0.6466358992114883,21.0,0.6006518200905956,28.0,NO_TRADE,-0.038139555955382,
2020-03-03,0.30553383860098887,10.0,0.28803352462099124,17.0,0.25571957815733165,24.0,0.24772125601949685,27.0,NO_TRADE,-0.010321738580328099,
2020-03-09,0.09105854194980884,9.0,0.07355947910068039,14.0,0.1025375098529078,22.0,0.10391996598676477,25.0,CALL,-0.0129398229057439,0.0
2020-03-10,0.32470343468901686,8.0,0.34148394737407844,13.0,0.3173981115067758,21.0,0.2844342077658167,30.0,NO_TRADE,-0.05940192142889361,
2020-03-16,-0.12169439601361619,4.0,-0.09299255488889036,11.0,-0.11621822645062045,18.0,-0.06137222638878514,30.0,CALL,-0.0340341892520525,0.0
2020-03-17,0.37490555828580213,8.0,0.35617867334898556,17.0,0.3247918301220697,20.0,0.2979973144265545,31.0,NO_TRADE,-0.08867265804467042,
2020-03-23,0.2914451590556395,7.0,-0.01766297470745246,11.0,0.10766192881404672,21.0,0.1103389016124032,25.0,NO_TRADE,0.13590328059354595,
2020-03-24,0.10055913296497491,10.0,0.1328615254685622,16.0,0.1342017644363256,24.0,0.11162083579800414,31.0,NO_TRADE,0.038466410332893344,
2020-03-30,0.07574976780649106,4.0,0.19801652490915211,16.0,0.22554131845639697,23.0,0.2297991190065729,28.0,CALL,-0.0525384044315002,0.0
2020-03-31,0.4437502065265902,6.0,0.36254996761007996,13.0,0.3250291486936271,20.0,0.2988487421098579,27.0,NO_TRADE,-0.03712000742864441,
2020-04-06,0.39958460800051265,9.0,0.36941248808038907,14.0,0.3561349161606154,24.0,0.3081239243000874,25.0,NO_TRADE,0.04735553820278725,
2020-04-07,0.25455962690976885,10.0,0.2849014003323246,13.0,0.22785807151964665,24.0,0.23530178848345004,31.0,NO_TRADE,0.049037192459981845,
2020-04-13,0.10745113683003157,9.0,0.12578209578180688,16.0,0.12771898905119988,21.0,0.1340668486104611,25.0,NO_TRADE,0.040892516376198056,
2020-04-14,0.1397427233348162,8.0,0.14989581098016555,16.0,0.14740685900611547,24.0,0.17865279295884823,31.0,NO_TRADE,0.01001384369971118,
2020-04-20,0.3960637803704591,10.0,0.33030892859243444,14.0,0.35130325045558797,21.0,0.27820532647896984,25.0,NO_TRADE,0.0048102126694909,
2020-04-21,0.08601358857786941,8.0,0.09171112953021937,15.0,0.14508690870708227,20.0,0.13016486265894678,31.0,CALL,0.03660800420966463,1.0
2020-04-27,0.1768144766316844,4.0,0.4453337454623296,14.0,0.33293751614828543,23.0,0.3392109068285534,25.0,NO_TRADE,0.011794419276840492,
2020-04-28,0.09333461683620668,10.0,0.1667361624162212,17.0,0.14789475458100218,24.0,0.15581704410614194,31.0,CALL,0.01712655279231958,1.0
