date,smirk_norm_7d,dte_used_7d,smirk_norm_14d,dte_used_14d,smirk_norm_21d,dte_used_21d,smirk_norm_28d,dte_used_28d,smirk_norm_7d_z,smirk_norm_14d_z,smirk_norm_21d_z,smirk_norm_28d_z,ret_mtf,signal,correct
2020-01-06,0.6522620336560108,4.0,0.26369922150099506,11.0,0.2126921168695179,18.0,0.1849851556239897,25.0,,,,,-0.01562613036243939,NO_TRADE,
2020-01-07,0.2189569177039279,10.0,0.19299134495658352,17.0,0.1779523597719937,24.0,0.15239401048191586,31.0,-0.7071067811865476,-0.7071067811865474,-0.7071067811865476,-0.7071067811865476,0.0013982926111274488,NO_TRADE,
2020-01-13,0.2053504839753961,4.0,0.18728217594630656,11.0,0.18610036080153727,18.0,0.16017139238179348,25.0,-0.6039079800180744,-0.6431113618539108,-0.3384008217822271,-0.333624325556163,0.00728862973760933,NO_TRADE,
2020-01-14,0.3569068123802386,10.0,0.259180196133575,17.0,0.20116960131686157,24.0,0.16691366878250452,31.0,-0.007045434208984386,0.8090322332655852,0.4319576894329724,0.0573483943438379,-0.004322766570605351,NO_TRADE,
2020-01-21,0.3436597220118502,10.0,0.23473036156120025,17.0,0.18653274855013594,24.0,0.1796665955040042,31.0,0.7792970037816955,0.4709091094306494,-0.14550044664806602,1.2873502902066747,-0.02696579947383804,PUT,1.0
2020-01-27,0.44544857687117234,4.0,0.2886111536563928,11.0,0.24817586906346895,18.0,0.21805659067072622,25.0,1.0845923626044733,1.0767163960606583,1.4565232712497282,1.4248566857480511,0.0024994319472848026,PUT,0.0
2020-01-28,0.2521997436731091,10.0,0.20384176559818298,17.0,0.17688717395763498,24.0,0.1347998737829206,31.0,-1.2310332430559932,-1.1868109172315742,-0.8322115410479338,-1.1633803744447693,-0.01539834858290555,NO_TRADE,
2020-02-03,0.3405321996093595,4.0,0.23275797588294683,11.0,0.2114302900536148,18.0,0.15238316315861852,25.0,-0.062378461022406254,-0.20440153825027438,0.17839498731535802,-0.5195492344720298,0.028492164654719824,NO_TRADE,
2020-02-04,0.2367606452680681,10.0,0.21320564011597698,17.0,0.16920981332204074,24.0,0.1586455659178406,31.0,-0.8534368370400427,-0.5636138259877281,-0.8905838952523244,-0.2025869334515184,0.01389607509793773,NO_TRADE,
2020-02-10,0.4694156076359436,4.0,0.3518693959760582,11.0,0.22736664186138428,18.0,0.18506361401363788,25.0,1.3554718176984542,1.4767571802439639,1.1235932226841576,1.3122155919172034,-0.0020328154493974237,PUT,1.0
2020-02-11,0.3507547731199167,10.0,0.23665898916915626,17.0,0.18658699844186272,24.0,0.17501366071120536,31.0,0.014594625286221049,-0.3486051742271942,-0.46711154995699256,0.4837152120894848,-0.003913043478260812,NO_TRADE,
2020-02-18,0.25673168322020273,10.0,0.19891944901127584,17.0,0.19903009003572336,24.0,0.11369556960531135,31.0,-0.6741548563112435,-0.7366227473760438,0.14219723933114384,-1.4078234038191573,0.0012533176054262455,NO_TRADE,
2020-02-24,0.24431768966977052,4.0,0.19389873998863577,11.0,0.16552458826337893,18.0,0.13809119372220757,25.0,-0.8251643138422816,-0.6994429524808944,-1.1263286662428016,-0.449872748283948,-0.12144370460048425,NO_TRADE,
2020-02-25,0.11386577157800898,10.0,0.13990841861529127,17.0,0.11552131815303181,24.0,0.1035826877623425,31.0,-1.3094107951407075,-1.3165897172998036,-1.390026676187962,-0.9131542605263286,-0.08038967210517983,CALL,0.0
2020-03-02,0.21835053696011092,4.0,0.24004438220795796,11.0,0.17617916394212346,18.0,0.2564916602692385,25.0,0.15445185050459004,1.1399470723589376,0.34368737315617154,1.4680187900342594,-0.1105990783410138,NO_TRADE,
2020-03-03,0.012920865336408637,10.0,0.2773063763706772,17.0,0.07858331257934367,24.0,0.2039869278219876,31.0,-1.2696818582913374,1.0867238404113169,-1.2193930138700897,0.41730329441481756,-0.07592339261285906,CALL,0.0
2020-03-09,0.037066582869499015,4.0,0.08089076078411415,11.0,-0.03780192451548942,18.0,0.16143814514741053,25.0,-0.6323301559209656,-1.148762413432036,-1.342131792207191,-0.3075943054840723,0.11205051369863013,NO_TRADE,
2020-03-10,0.15719248804211838,10.0,0.11886324823333856,17.0,0.16997483516894918,24.0,0.1603853086116711,30.0,0.5198567963527732,-0.6411916568890591,0.731130107141066,-0.7750043375406497,0.031876861966236285,PUT,0.0
2020-03-16,-0.22735215976340428,4.0,-0.054494723790154666,11.0,0.10840430640152914,18.0,,,-1.3801397474695904,-1.1731259604030684,0.3283610515738836,,-0.05500226346763241,CALL,0.0
2020-03-17,0.08908448576913158,10.0,0.18676928500181342,17.0,0.19360147887854393,23.0,0.1661967454589294,31.0,0.44627880881879267,1.021350112547723,0.8181354359593151,1.1378906601932433,-0.10942832764505124,NO_TRADE,
2020-03-23,0.018842963635921865,4.0,0.07679992793838492,17.0,,,0.2548096282437462,25.0,0.056070810359695425,-0.05100746869505964,,1.1529584697746909,0.1531064152853346,NO_TRADE,
2020-03-24,0.33082931018375783,10.0,0.3122888363842955,16.0,0.08193355443217382,24.0,0.15797663827560732,31.0,1.2102981205158694,1.1638487014989165,-0.7891258571287577,-0.6522060978918031,0.03053262467488396,PUT,0.0
2020-03-30,0.8570785935633557,10.0,,,0.2733441589323574,18.0,0.2207306524522585,25.0,1.404040150565945,,0.9400551028611699,0.4524200695931716,-0.10106951871657757,PUT,1.0
2020-03-31,0.25263161922010485,9.0,0.24611134010943253,17.0,0.1789353753648721,24.0,0.19860412642075465,31.0,-0.3170678983636408,0.2830623961415359,0.00903104981342235,-0.23220024704768882,-0.0664223036765523,NO_TRADE,
2020-04-06,,,0.24689360748700975,11.0,0.1553111103310183,18.0,0.10580547946137929,25.0,,-0.5670222733897171,-0.21615808725685287,-1.2862630176116865,0.14866979655712065,NO_TRADE,
2020-04-07,0.12254911536495208,10.0,0.08640145841289094,17.0,0.08155080530826404,24.0,0.06595216655365903,31.0,-0.7352831949420993,-1.1546902008424083,-1.1468558163632894,-1.107897739030483,0.1337157987643425,NO_TRADE,
2020-04-13,-0.061596193038146986,4.0,-0.03144023487319906,11.0,0.028564622491445518,18.0,0.014604967827032226,25.0,-1.0521717384795894,-1.2449223742627546,-1.1977681039672143,-1.0495167457956067,-0.03065485283633762,NO_TRADE,
2020-04-14,0.09240614784281159,10.0,0.029438299426621732,17.0,0.05282080602924726,24.0,0.08630579136236463,31.0,0.41799985125887357,-0.4467506901260335,-0.486664451256732,0.462243253790111,-0.003350785340314065,NO_TRADE,
2020-04-20,0.11075269052843867,4.0,0.04782081430707239,11.0,0.01693548037759739,18.0,0.02820602258483114,25.0,0.5201645446366009,0.30064125366472366,-0.979959637124035,-0.6204810757419514,-0.010903936321011887,PUT,1.0
2020-04-21,0.06250191593213714,10.0,0.027450535794207694,17.0,0.03632518133240284,24.0,0.04433161321881837,31.0,0.14789077183541044,0.26537683064952383,0.17693462583249886,0.031173293434276408,0.018641212801796706,NO_TRADE,
2020-04-27,0.1775277712833519,4.0,0.11181652521931161,11.0,0.12019344799273464,18.0,0.10726891837044578,25.0,1.369414887352212,1.4590916737538249,1.417650856231541,1.1140308863218795,0.012048192771084343,PUT,0.0
2020-04-28,0.08685969337731625,10.0,0.09369575312737406,17.0,0.10458120922633882,24.0,0.09237421121753141,31.0,-0.45557319369467575,0.5993292173574079,0.6938967980105851,0.6441228070440504,0.004932311890019927,NO_TRADE,
