date,smirk_norm_30d,dte_used_30d,smirk_norm_30d_z,ret_mtf,signal,correct
2008-06-02,,,,-0.048873072360616734,NO_TRADE,
2008-06-03,,,,-0.042969682501790334,NO_TRADE,
2008-06-09,0.160355852651762,40.0,,0.055185283924286864,NO_TRADE,
2008-06-10,0.13804009275553128,39.0,-0.707106781186548,0.033690258553147015,NO_TRADE,
2008-06-16,0.223009392637031,33.0,1.117045800656627,-0.052078117175763605,PUT,1.0
2008-06-17,0.21797221729368532,32.0,0.7848851393869867,-0.030225409836065566,PUT,1.0
2008-06-23,0.23884147799678487,26.0,0.7610686507049271,-0.04936262544073774,PUT,1.0
2008-06-24,0.26874018835656677,25.0,1.3819443859857843,-0.07078472958642634,PUT,1.0
2008-06-30,,,,0.029146021568055958,NO_TRADE,
2008-07-01,,,,0.037918871252204556,NO_TRADE,
2008-07-07,0.07326871592609713,40.0,-0.7071067811865477,-0.02585193889541723,NO_TRADE,
2008-07-08,-0.03529532835497443,39.0,-0.7071067811865478,-0.07296617277047823,NO_TRADE,
2008-07-14,0.0414971451677884,33.0,0.2688641629436509,0.26285894603976023,NO_TRADE,
2008-07-15,-0.023665222299294363,32.0,-0.7231472942465673,0.2901353965183754,NO_TRADE,
2008-07-21,-0.013846506743300848,26.0,-0.1768654998494485,0.022509702457956134,NO_TRADE,
2008-07-22,-0.008841952567944813,25.0,-0.26183410578387384,-0.032794909446891736,NO_TRADE,
2008-07-28,,,,0.08231545406266601,NO_TRADE,
2008-07-29,,,,0.00024539877300608614,NO_TRADE,
2008-08-04,,,,0.023168908819133027,NO_TRADE,
2008-08-05,,,,-0.01957507758414897,NO_TRADE,
2008-08-11,0.11494342187254492,40.0,,-0.09119121508713297,NO_TRADE,
2008-08-12,0.04594701558310819,39.0,-0.7071067811865475,0.003955696202531608,NO_TRADE,
2008-08-18,0.04587210133221564,33.0,-0.5782898083017549,0.025313010342950453,NO_TRADE,
2008-08-19,-0.04746439000655946,32.0,-1.309190162545542,0.05874086565486238,CALL,1.0
2008-08-25,-0.018868035817235104,26.0,-0.5356083489054286,0.0653196789371713,NO_TRADE,
2008-08-26,0.046391416532801204,25.0,0.8446594458407712,0.051352089593007445,PUT,0.0
2008-09-02,,,,0.015645037189022812,NO_TRADE,
2008-09-08,0.1484608315314036,40.0,1.0647748638850187,-0.009145607701564272,PUT,1.0
2008-09-09,0.15753792976947717,39.0,0.6493248382663507,0.04307068659741583,PUT,0.0
2008-09-15,-0.02124626069748289,33.0,-1.1535272398288234,0.27162162162162157,NO_TRADE,
2008-09-16,0.14177103524876897,32.0,0.41101544885583513,0.15488463426607743,NO_TRADE,
2008-09-22,0.0161281089561886,26.0,-0.6420817968447619,0.18235294117647072,NO_TRADE,
2008-09-23,0.14996987340207144,25.0,0.8990480313306,0.1893491124260355,PUT,0.0
2008-09-29,,,,0.11951219512195119,NO_TRADE,
2008-09-30,,,,-0.017130620985010798,NO_TRADE,
2008-10-06,,,,-0.05363636363636362,NO_TRADE,
2008-10-07,,,,0.0590030518819939,NO_TRADE,
2008-10-13,-0.03084599536618123,40.0,,-0.06334841628959284,NO_TRADE,
2008-10-14,0.031971420956464595,39.0,0.7071067811865476,-0.033898305084745825,PUT,1.0
2008-10-20,0.1055400260452243,33.0,1.025215133421958,-0.1286276438760452,PUT,1.0
2008-10-21,0.058459830733789776,32.0,0.3018996289645346,-0.10845495722194268,NO_TRADE,
2008-10-27,0.19329686483319183,26.0,1.3546676902083628,0.21323529411764705,PUT,0.0
2008-10-28,0.11963029150103706,25.0,0.007132506575632838,0.09707446808510634,NO_TRADE,
2008-11-03,,,,-0.07316474343235937,NO_TRADE,
2008-11-04,,,,-0.10481384870761208,NO_TRADE,
2008-11-10,0.04784274571833571,40.0,-0.7071067811865468,-0.05328206536665745,NO_TRADE,
2008-11-11,0.06924610206160292,39.0,0.7071067811865382,-0.05171939477303996,PUT,1.0
2008-11-17,0.08296156707003276,33.0,0.9197130742109151,-0.30668294171498334,PUT,1.0
2008-11-18,0.04039036759384495,32.0,-1.0093894208181868,-0.29309271935283143,NO_TRADE,
2008-11-24,0.2652277034156496,26.0,1.47716423376542,0.14793328498912262,PUT,0.0
2008-11-25,0.15990035590376195,25.0,0.2308229197505832,0.06348673160900237,NO_TRADE,
2008-12-01,,,,0.27679938744257276,NO_TRADE,
2008-12-02,,,,0.16894497020679985,NO_TRADE,
2008-12-08,0.12665944144934815,40.0,-0.7071067811865434,-0.15209646478487257,NO_TRADE,
2008-12-09,0.1446067313048076,39.0,0.7071067811865392,-0.08892815076560658,PUT,1.0
2008-12-15,0.14894834781748906,33.0,0.7512366988865555,0.05902899056933292,PUT,0.0
2008-12-16,0.13561289632204213,32.0,-0.33769918378852815,-0.06275115919629061,NO_TRADE,
2008-12-22,0.18582449789905195,26.0,1.4518395021709025,-0.0006706908115358676,PUT,1.0
2008-12-23,0.19487942684318257,25.0,1.0013902394026137,0.023703194778426702,PUT,0.0
