date,smirk_norm_30d,dte_used_30d,signal_pct,ret_mtf,correct_pct
2008-06-02,,,NO_TRADE,-0.048873072360616734,
2008-06-03,,,NO_TRADE,-0.042969682501790334,
2008-06-09,0.160355852651762,40.0,NO_TRADE,0.055185283924286864,
2008-06-10,0.13804009275553128,39.0,NO_TRADE,0.033690258553147015,
2008-06-16,0.223009392637031,33.0,PUT,-0.052078117175763605,1.0
2008-06-17,0.21797221729368532,32.0,PUT,-0.030225409836065566,1.0
2008-06-23,0.23884147799678487,26.0,PUT,-0.04936262544073774,1.0
2008-06-24,0.26874018835656677,25.0,PUT,-0.07078472958642634,1.0
2008-06-30,,,NO_TRADE,0.029146021568055958,
2008-07-01,,,NO_TRADE,0.037918871252204556,
2008-07-07,0.07326871592609713,40.0,NO_TRADE,-0.02585193889541723,
2008-07-08,-0.03529532835497443,39.0,CALL,-0.07296617277047823,0.0
2008-07-14,0.0414971451677884,33.0,NO_TRADE,0.26285894603976023,
2008-07-15,-0.023665222299294363,32.0,CALL,0.2901353965183754,1.0
2008-07-21,-0.013846506743300848,26.0,CALL,0.022509702457956134,1.0
2008-07-22,-0.008841952567944813,25.0,NO_TRADE,-0.032794909446891736,
2008-07-28,,,NO_TRADE,0.08231545406266601,
2008-07-29,,,NO_TRADE,0.00024539877300608614,
2008-08-04,,,NO_TRADE,0.023168908819133027,
2008-08-05,,,NO_TRADE,-0.01957507758414897,
2008-08-11,0.11494342187254492,40.0,NO_TRADE,-0.09119121508713297,
2008-08-12,0.04594701558310819,39.0,NO_TRADE,0.003955696202531608,
2008-08-18,0.04587210133221564,33.0,NO_TRADE,0.025313010342950453,
2008-08-19,-0.04746439000655946,32.0,CALL,0.05874086565486238,1.0
2008-08-25,-0.018868035817235104,26.0,CALL,0.0653196789371713,1.0
2008-08-26,0.046391416532801204,25.0,NO_TRADE,0.051352089593007445,
2008-09-02,,,NO_TRADE,0.015645037189022812,
2008-09-08,0.1484608315314036,40.0,NO_TRADE,-0.009145607701564272,
2008-09-09,0.15753792976947717,39.0,NO_TRADE,0.04307068659741583,
2008-09-15,-0.02124626069748289,33.0,CALL,0.27162162162162157,1.0
2008-09-16,0.14177103524876897,32.0,NO_TRADE,0.15488463426607743,
2008-09-22,0.0161281089561886,26.0,NO_TRADE,0.18235294117647072,
2008-09-23,0.14996987340207144,25.0,NO_TRADE,0.1893491124260355,
2008-09-29,,,NO_TRADE,0.11951219512195119,
2008-09-30,,,NO_TRADE,-0.017130620985010798,
2008-10-06,,,NO_TRADE,-0.05363636363636362,
2008-10-07,,,NO_TRADE,0.0590030518819939,
2008-10-13,-0.03084599536618123,40.0,CALL,-0.06334841628959284,0.0
2008-10-14,0.031971420956464595,39.0,NO_TRADE,-0.033898305084745825,
2008-10-20,0.1055400260452243,33.0,NO_TRADE,-0.1286276438760452,
2008-10-21,0.058459830733789776,32.0,NO_TRADE,-0.10845495722194268,
2008-10-27,0.19329686483319183,26.0,PUT,0.21323529411764705,0.0
2008-10-28,0.11963029150103706,25.0,NO_TRADE,0.09707446808510634,
2008-11-03,,,NO_TRADE,-0.07316474343235937,
2008-11-04,,,NO_TRADE,-0.10481384870761208,
2008-11-10,0.04784274571833571,40.0,NO_TRADE,-0.05328206536665745,
2008-11-11,0.06924610206160292,39.0,NO_TRADE,-0.05171939477303996,
2008-11-17,0.08296156707003276,33.0,NO_TRADE,-0.30668294171498334,
2008-11-18,0.04039036759384495,32.0,NO_TRADE,-0.29309271935283143,
2008-11-24,0.2652277034156496,26.0,PUT,0.14793328498912262,0.0
2008-11-25,0.15990035590376195,25.0,NO_TRADE,0.06348673160900237,
2008-12-01,,,NO_TRADE,0.27679938744257276,
2008-12-02,,,NO_TRADE,0.16894497020679985,
2008-12-08,0.12665944144934815,40.0,NO_TRADE,-0.15209646478487257,
2008-12-09,0.1446067313048076,39.0,NO_TRADE,-0.08892815076560658,
2008-12-15,0.14894834781748906,33.0,NO_TRADE,0.05902899056933292,
2008-12-16,0.13561289632204213,32.0,NO_TRADE,-0.06275115919629061,
2008-12-22,0.18582449789905195,26.0,NO_TRADE,-0.0006706908115358676,
2008-12-23,0.19487942684318257,25.0,PUT,0.023703194778426702,0.0
