date,smirk_norm_7d,dte_used_7d,smirk_norm_14d,dte_used_14d,smirk_norm_21d,dte_used_21d,smirk_norm_28d,dte_used_28d,smirk_norm_7d_z,smirk_norm_14d_z,smirk_norm_21d_z,smirk_norm_28d_z,ret_mtf,signal,correct
2020-01-06,0.39354641652977074,4.0,0.2758780274805898,11.0,0.20587215068927106,18.0,0.13454446781720764,25.0,,,,,-0.024410893184704442,NO_TRADE,
2020-01-07,0.2812187606919606,10.0,0.21101850939200678,17.0,0.13019364209497125,24.0,0.12945880978594818,31.0,-0.7071067811865475,-0.7071067811865476,-0.7071067811865476,-0.7071067811865457,-0.01636079100867841,NO_TRADE,
2020-01-13,0.5864733430135763,4.0,0.3209232381416475,11.0,0.16831608831478423,18.0,0.17157292559062765,25.0,1.0755871866170814,0.9348539604161507,0.004989338616675123,1.1476141923667513,-0.017765042979942622,PUT,1.0
2020-01-14,0.34134273048467606,10.0,0.16085932149517093,17.0,0.1544664208399618,24.0,0.39092829375373256,31.0,-0.4488759433275063,-1.15297655875721,-0.32379986406342876,1.4827988732821373,-0.009248554913294805,NO_TRADE,
2020-01-21,0.14320639231845506,10.0,0.16968810457982653,17.0,0.4096957249760305,24.0,0.47730649909021805,31.0,-1.052016041872747,-0.6247301314146573,1.4889943633756704,1.098698413046145,-0.018644569399230617,NO_TRADE,
2020-01-27,0.11785093016431944,4.0,0.11938184911278536,11.0,0.4130620546359975,18.0,0.4490692973052531,25.0,-0.8258744830345833,-0.8310215817418367,0.8769748935492596,0.5548185951811851,-0.04046957059005248,NO_TRADE,
2020-01-28,0.1333886747987026,10.0,0.4172976911410171,17.0,0.4891059043812364,24.0,0.4738649351100295,31.0,-0.4794624011954295,1.4802056747024352,0.838700921441612,0.6527685174578031,-0.03913379737045643,NO_TRADE,
2020-02-03,0.30199485203608767,4.0,0.8021933692703433,11.0,0.8171841840107082,18.0,0.7375647196191404,25.0,1.4888812830229559,1.3629879862304533,1.4728106718845233,1.4935696158181901,0.012185081508315529,PUT,0.0
2020-02-04,0.9544021767292553,10.0,1.047359922265044,17.0,0.8183122383287408,24.0,0.712174348209793,31.0,1.4660083805535435,1.0983847979761276,0.8594947321207158,0.7790184242487894,0.025012506253126565,PUT,0.0
2020-02-10,0.2807116882627259,4.0,0.17811957194483932,11.0,0.13596930054113526,18.0,0.10050824324731689,25.0,-0.37446632166360233,-1.1160016835624196,-1.3190445181752881,-1.3732993328739136,0.011507671781187421,NO_TRADE,
2020-02-11,0.1691082172755235,10.0,0.10920079239372853,17.0,0.06814232075111959,24.0,0.05650744752298032,31.0,-0.7217605236447467,-0.9183472994289976,-0.9459773159779611,-0.9235545622611615,0.0019824880224681555,NO_TRADE,
2020-02-18,0.18446782058453132,10.0,0.07651794013213534,17.0,0.05424428624711232,24.0,0.025809772078835197,31.0,-0.5675827626016404,-0.5941887828967565,-0.5842933121533175,-0.6052176319643301,-0.0125250501002004,NO_TRADE,
2020-02-24,0.21300935742705604,4.0,0.07761376007615708,11.0,0.029884459249601078,18.0,0.04191382571708961,25.0,0.023991511230859408,-0.6873513644696931,-0.9280454208700963,-0.44459768390682414,-0.08729595457771472,NO_TRADE,
2020-02-25,0.0816792482407729,10.0,-0.03833604481752171,17.0,0.0405294673340598,24.0,0.0819601975188846,31.0,-1.4204105442376795,-1.4584678382275025,-0.46157334663242416,1.2757865993326793,-0.050922509225092345,CALL,0.0
