date,smirk_norm_30d,dte_used_30d,signal_pct,ret_mtf,correct_pct
2008-06-02,,,NO_TRADE,-0.011615989067304362,
2008-06-03,,,NO_TRADE,0.012600630031501721,
2008-06-09,0.06103885427727813,40.0,NO_TRADE,-0.007971258560682539,
2008-06-10,0.05828976729866841,39.0,NO_TRADE,0.005347593582887687,
2008-06-16,0.023907802607942494,33.0,NO_TRADE,-0.03500397772474143,
2008-06-17,0.048540960486487324,32.0,NO_TRADE,-0.04186413902053721,
2008-06-23,0.0685397767522963,26.0,NO_TRADE,-0.01311288483466369,
2008-06-24,-0.038918492893165575,25.0,NO_TRADE,-0.0042567878508974295,
2008-06-30,,,NO_TRADE,0.0015885623510722862,
2008-07-01,,,NO_TRADE,-0.0009054895302772869,
2008-07-07,0.05399492668183257,40.0,NO_TRADE,-0.016906267970097744,
2008-07-08,0.08854370396910312,39.0,NO_TRADE,-0.0053525715615545,
2008-07-14,0.13065750639557194,33.0,NO_TRADE,-0.04542261765394516,
2008-07-15,0.14388855532692885,32.0,PUT,-0.007908504684268056,1.0
2008-07-21,0.15238377840279532,26.0,PUT,-0.01542540371173778,1.0
2008-07-22,0.13504369994507798,25.0,NO_TRADE,-0.013999517258025545,
2008-07-28,,,NO_TRADE,-0.011898859692612888,
2008-07-29,,,NO_TRADE,-0.014585908529048291,
2008-08-04,,,NO_TRADE,0.027676240208877347,
2008-08-05,,,NO_TRADE,0.004722399489470384,
2008-08-11,0.009538542312712641,40.0,NO_TRADE,-0.013945752302968314,
2008-08-12,-0.05266497914608719,39.0,CALL,0.002471383975025985,1.0
2008-08-18,-0.04498726626367706,33.0,CALL,0.0492617274271527,1.0
2008-08-19,0.04967177421732755,32.0,NO_TRADE,0.030147530468248803,
2008-08-25,0.03359918381662229,26.0,NO_TRADE,0.016516325752763454,
2008-08-26,0.0638329251470542,25.0,NO_TRADE,0.0007504690431519984,
2008-09-02,,,NO_TRADE,-0.021986549405069694,
2008-09-08,-0.05946510913051244,40.0,CALL,0.00950892275628506,1.0
2008-09-09,-0.058068888028227766,39.0,CALL,0.057876057876057804,1.0
2008-09-15,-0.21662598537628625,33.0,CALL,0.0868259385665529,1.0
2008-09-16,-0.11103742926867093,32.0,CALL,0.041606698940206625,1.0
2008-09-22,0.13102284361972188,26.0,NO_TRADE,0.022439148073022445,
2008-09-23,0.06099532943523316,25.0,NO_TRADE,0.03810014158836411,
2008-09-29,,,NO_TRADE,0.05238995409127728,
2008-09-30,,,NO_TRADE,0.003605459696111269,
2008-10-06,,,NO_TRADE,-0.19348163476461452,
2008-10-07,,,NO_TRADE,-0.1802287366898908,
2008-10-13,0.11256679997398665,40.0,NO_TRADE,-0.0689655172413792,
2008-10-14,0.03670489433810158,39.0,NO_TRADE,-0.06099917195694159,
2008-10-20,0.307333227812195,33.0,PUT,-0.0793439125216694,1.0
2008-10-21,0.14212438845461456,32.0,NO_TRADE,-0.03440559440559432,
2008-10-27,0.13896942595682693,26.0,NO_TRADE,0.12150098350733848,
2008-10-28,0.20772078484868475,25.0,PUT,-0.009885118888591971,1.0
2008-11-03,,,NO_TRADE,-0.004576659038901647,
2008-11-04,,,NO_TRADE,-0.0456833139759968,
2008-11-10,0.08868333301798759,40.0,NO_TRADE,-0.004593353147797747,
2008-11-11,0.11405400724911031,39.0,NO_TRADE,0.014177563661390242,
2008-11-17,0.13147433407315565,33.0,NO_TRADE,0.03311529026982839,
2008-11-18,-0.07116684761765493,32.0,CALL,-0.006812524564391406,0.0
2008-11-24,0.268712860435922,26.0,PUT,0.017131979695431582,0.0
2008-11-25,0.10693993355675444,25.0,NO_TRADE,0.0261170144667777,
2008-12-01,,,NO_TRADE,0.030816848338043223,
2008-12-02,,,NO_TRADE,-0.013013786883133684,
2008-12-08,0.16389247368857135,40.0,PUT,0.010678391959799104,0.0
2008-12-09,0.09109144647076242,39.0,NO_TRADE,0.02877237851662404,
2008-12-15,0.06642790514002891,33.0,NO_TRADE,-0.06166353971232028,
2008-12-16,0.10200533091670727,32.0,NO_TRADE,-0.09766658648063513,
2008-12-22,0.08319668167526158,26.0,NO_TRADE,0.03043652382859433,
2008-12-23,0.14877939957054426,25.0,PUT,0.027829560585885534,0.0
