date,smirk_norm_30d,dte_used_30d,smirk_norm_30d_z,ret_mtf,signal,correct
2008-06-02,,,,-0.011615989067304362,NO_TRADE,
2008-06-03,,,,0.012600630031501721,NO_TRADE,
2008-06-09,0.06103885427727813,40.0,,-0.007971258560682539,NO_TRADE,
2008-06-10,0.05828976729866841,39.0,-0.7071067811865476,0.005347593582887687,NO_TRADE,
2008-06-16,0.023907802607942494,33.0,-1.1521494453255214,-0.03500397772474143,NO_TRADE,
2008-06-17,0.048540960486487324,32.0,0.035307253218904454,-0.04186413902053721,NO_TRADE,
2008-06-23,0.0685397767522963,26.0,0.9797504872398445,-0.01311288483466369,PUT,1.0
2008-06-24,-0.038918492893165575,25.0,-1.3805337229590127,-0.0042567878508974295,CALL,0.0
2008-06-30,,,,0.0015885623510722862,NO_TRADE,
2008-07-01,,,,-0.0009054895302772869,NO_TRADE,
2008-07-07,0.05399492668183257,40.0,0.7071067811865475,-0.016906267970097744,PUT,1.0
2008-07-08,0.08854370396910312,39.0,0.7071067811865467,-0.0053525715615545,PUT,1.0
2008-07-14,0.13065750639557194,33.0,1.0312209126523015,-0.04542261765394516,PUT,1.0
2008-07-15,0.14388855532692885,32.0,0.9664855962412068,-0.007908504684268056,PUT,1.0
2008-07-21,0.15238377840279532,26.0,0.8300365796770435,-0.01542540371173778,PUT,1.0
2008-07-22,0.13504369994507798,25.0,-0.5647496572487107,-0.013999517258025545,NO_TRADE,
2008-07-28,,,,-0.011898859692612888,NO_TRADE,
2008-07-29,,,,-0.014585908529048291,NO_TRADE,
2008-08-04,,,,0.027676240208877347,NO_TRADE,
2008-08-05,,,,0.004722399489470384,NO_TRADE,
2008-08-11,0.009538542312712641,40.0,,-0.013945752302968314,NO_TRADE,
2008-08-12,-0.05266497914608719,39.0,-0.7071067811865475,0.002471383975025985,NO_TRADE,
2008-08-18,-0.04498726626367706,33.0,-0.4604486462514733,0.0492617274271527,NO_TRADE,
2008-08-19,0.04967177421732755,32.0,1.2284639973482698,0.030147530468248803,PUT,0.0
2008-08-25,0.03359918381662229,26.0,0.7053520140770642,0.016516325752763454,PUT,0.0
2008-08-26,0.0638329251470542,25.0,0.7880402412291942,0.0007504690431519984,PUT,0.0
2008-09-02,,,,-0.021986549405069694,NO_TRADE,
2008-09-08,-0.05946510913051244,40.0,-1.122296831333218,0.00950892275628506,NO_TRADE,
2008-09-09,-0.058068888028227766,39.0,-0.5674599978979105,0.057876057876057804,NO_TRADE,
2008-09-15,-0.21662598537628625,33.0,-1.154666665563563,0.0868259385665529,NO_TRADE,
2008-09-16,-0.11103742926867093,32.0,0.0035196362165653217,0.041606698940206625,NO_TRADE,
2008-09-22,0.13102284361972188,26.0,1.337460132617483,0.022439148073022445,PUT,0.0
2008-09-23,0.06099532943523316,25.0,0.5980786267129232,0.03810014158836411,PUT,0.0
2008-09-29,,,,0.05238995409127728,NO_TRADE,
2008-09-30,,,,0.003605459696111269,NO_TRADE,
2008-10-06,,,,-0.19348163476461452,NO_TRADE,
2008-10-07,,,,-0.1802287366898908,NO_TRADE,
2008-10-13,0.11256679997398665,40.0,,-0.0689655172413792,NO_TRADE,
2008-10-14,0.03670489433810158,39.0,-0.7071067811865476,-0.06099917195694159,NO_TRADE,
2008-10-20,0.307333227812195,33.0,1.1112590939517004,-0.0793439125216694,PUT,1.0
2008-10-21,0.14212438845461456,32.0,-0.06624303209965254,-0.03440559440559432,NO_TRADE,
2008-10-27,0.13896942595682693,26.0,-0.15461960985546805,0.12150098350733848,NO_TRADE,
2008-10-28,0.20772078484868475,25.0,0.11013490358637784,-0.009885118888591971,NO_TRADE,
2008-11-03,,,,-0.004576659038901647,NO_TRADE,
2008-11-04,,,,-0.0456833139759968,NO_TRADE,
2008-11-10,0.08868333301798759,40.0,-0.7071067811865478,-0.004593353147797747,NO_TRADE,
2008-11-11,0.11405400724911031,39.0,0.7071067811865405,0.014177563661390242,PUT,0.0
2008-11-17,0.13147433407315565,33.0,0.9327175413743805,0.03311529026982839,PUT,0.0
2008-11-18,-0.07116684761765493,32.0,-1.4729656856499336,-0.006812524564391406,CALL,0.0
2008-11-24,0.268712860435922,26.0,1.131193748211162,0.017131979695431582,PUT,0.0
2008-11-25,0.10693993355675444,25.0,-0.01468414064395984,0.0261170144667777,NO_TRADE,
2008-12-01,,,,0.030816848338043223,NO_TRADE,
2008-12-02,,,,-0.013013786883133684,NO_TRADE,
2008-12-08,0.16389247368857135,40.0,0.707106781186553,0.010678391959799104,PUT,0.0
2008-12-09,0.09109144647076242,39.0,-0.7071067811865486,0.02877237851662404,NO_TRADE,
2008-12-15,0.06642790514002891,33.0,-0.8033451928264499,-0.06166353971232028,NO_TRADE,
2008-12-16,0.10200533091670727,32.0,-0.09284597603273666,-0.09766658648063513,NO_TRADE,
2008-12-22,0.08319668167526158,26.0,-0.16587117986765004,0.03043652382859433,NO_TRADE,
2008-12-23,0.14877939957054426,25.0,1.3689968026211587,0.027829560585885534,PUT,0.0
