date,smirk_norm_7d,dte_used_7d,smirk_norm_14d,dte_used_14d,smirk_norm_21d,dte_used_21d,smirk_norm_28d,dte_used_28d,smirk_norm_7d_z,smirk_norm_14d_z,smirk_norm_21d_z,smirk_norm_28d_z,ret_mtf,signal,correct
2020-01-06,0.8554465185224485,4.0,0.47663703677868413,11.0,0.26745070051587067,18.0,0.12176160606836867,25.0,,,,,0.014525561214865134,NO_TRADE,
2020-01-07,0.33350180338839985,10.0,0.18885306141796698,17.0,0.07491183940482637,24.0,0.08236218358781312,31.0,-0.7071067811865475,-0.7071067811865476,-0.7071067811865476,-0.7071067811865475,0.02386089605279852,NO_TRADE,
2020-01-13,0.657980312897872,4.0,0.3221257677304664,11.0,0.084202673745985,18.0,0.07373775159057008,25.0,0.16065178396332555,-0.049155643305915396,-0.534038171006821,-0.7375304447645983,0.023395394414502654,NO_TRADE,
2020-01-14,0.26354287258864273,10.0,0.0526229555881722,17.0,0.05661422369423039,24.0,0.04464708492265755,31.0,-0.9498473248145081,-1.1427196520174145,-0.6519768811225664,-1.130822239662059,0.030654413125269838,NO_TRADE,
2020-01-21,0.06560748173681706,10.0,0.06910151986442933,17.0,0.07294712869842963,24.0,0.10734628325320462,31.0,-1.0743586021695548,-0.7124324776486899,0.06782554476775256,1.1723529367440753,-0.008768768768768817,NO_TRADE,
2020-01-27,0.019986008861182798,4.0,0.03878406669654116,11.0,0.04872792863873883,18.0,0.10096739974643365,25.0,-0.7973522631800598,-0.607008547313121,-1.0576996088255533,0.673011169390891,0.04898940103524765,NO_TRADE,
2020-01-28,0.04935280775221957,10.0,0.06770441999831842,17.0,0.09801699892827936,24.0,0.11941079158373238,31.0,-0.4532897256404621,0.7457324569838983,1.329321427745962,0.7929387085832237,0.028828719932309812,NO_TRADE,
2020-02-03,0.4012922908667663,4.0,0.23434940337747742,11.0,0.27120078214539517,18.0,0.24015930977634506,25.0,1.491647633169837,1.4814005286818697,1.4699321771034273,1.4898660313305836,0.054536070650303886,PUT,0.0
2020-02-04,0.16715347634800357,10.0,0.21585904847334159,17.0,0.1905272658100474,24.0,0.18905787500624635,31.0,0.04446899395851555,0.7652555940712819,0.3888343880278424,0.4150103143525432,0.02093049078392173,NO_TRADE,
2020-02-10,0.05688690728599807,4.0,0.11361589224429132,11.0,0.11041873170573017,18.0,0.08212166796442869,25.0,-0.6809399641303416,-0.5518921470378417,-0.7108826848443516,-1.0700529184875838,-0.017753047164811842,NO_TRADE,
2020-02-11,0.09825373178077536,10.0,0.07850414601211533,17.0,0.071225606750967,24.0,0.07388254866686919,31.0,-0.5373093368247149,-1.0765070442387379,-1.0096849717105745,-0.8869734540110773,0.0049338538278030615,NO_TRADE,
2020-02-18,0.26329738111209444,10.0,0.18638345237335469,17.0,0.1395033891475821,24.0,0.10133762867119907,31.0,1.2955193911865024,0.5953609792886677,0.23055220222394268,-0.19397833391675182,-0.046146450889280495,PUT,1.0
2020-02-24,0.17200399062092925,4.0,0.05663027592394489,11.0,0.06944614982212607,18.0,0.0623037407163713,25.0,0.26913300913357646,-0.9180386089358558,-0.8366943554718471,-1.0713394945695693,-0.05196325121423136,NO_TRADE,
2020-02-25,0.08474644727141596,10.0,0.05023117683567808,17.0,0.046131581095418914,24.0,0.017477168633720803,31.0,-0.8515632012970734,-0.6729329199266956,-0.880083652852139,-1.3250186639344659,-0.03605640506931637,NO_TRADE,
2020-03-02,0.18348951035770864,4.0,0.1564211319907592,11.0,0.08806099884191805,18.0,0.14118307413598352,25.0,0.10407299785538247,0.6354469770904414,0.057304925355957194,1.1440433403634875,-0.0649343133283176,NO_TRADE,
2020-03-03,0.12831401097875175,10.0,0.12919584356362052,17.0,0.10052074352698279,24.0,0.07737510219593303,31.0,-0.3069122648485425,0.5880047807632611,1.033950931291028,0.05453019968644374,-0.017871254027110803,NO_TRADE,
2020-03-09,-0.2849843157041419,4.0,-0.07560193790658198,11.0,-0.08328594508851657,18.0,-0.1765605966797159,25.0,-1.4726258095198888,-1.352159879187209,-1.4413840929062602,-1.3947283503885506,0.054508033461691724,CALL,1.0
2020-03-10,0.13118328691498307,10.0,0.09229649609942586,17.0,0.11055015473624179,24.0,0.08184837572146057,30.0,0.42093957608598515,0.16051524193652897,0.6153647695234701,0.35995089495890864,-0.012987820034799745,NO_TRADE,
2020-03-16,0.06605137856041625,4.0,0.07805056331666656,11.0,0.09085806022376675,24.0,,,0.28091127936839927,0.2442654063504978,0.3921055073370659,,0.014251956874907747,NO_TRADE,
2020-03-17,0.20229942570867476,10.0,0.10776079240439741,17.0,0.13821528861575036,23.0,0.0448602544824283,31.0,0.8026597729194657,0.6719914921142572,0.7402081013227629,0.4399296186836171,-0.06290509654090196,PUT,1.0
2020-03-23,0.21900171317039532,4.0,-0.0020004394535834413,11.0,,,0.11155559955785599,25.0,0.916055968482943,-1.4530612505310136,,0.9617029055204943,0.10089719076334755,PUT,0.0
2020-03-24,0.29584570799211124,10.0,0.29518511186946506,16.0,0.35638174932992683,24.0,0.1053010003780881,31.0,1.0463870706176315,1.3944709364519299,1.1384468154198657,0.49036314692437594,0.009168127275178543,PUT,0.0
2020-03-30,0.03030111677308876,4.0,,,0.13060387311493468,18.0,0.09707749593874536,25.0,-1.3973445671303424,,-0.6067787554781467,0.24213372156974916,-0.03994258253760206,CALL,0.0
2020-03-31,0.06002190259987735,9.0,0.05689317511615848,17.0,0.023288222401061813,24.0,0.03521631290084179,31.0,-0.7182040072442896,-0.3800196726935085,-0.863438871735297,-1.4785902346847701,-0.024602117811172376,NO_TRADE,
2020-04-06,,,0.21175106728412102,11.0,0.19257977740066223,18.0,0.10996336173588699,25.0,,0.19689527573453983,0.12109991060734336,0.6619321465199679,-0.0007865916379259628,NO_TRADE,
2020-04-07,0.1626449972177942,10.0,0.10941450756875434,17.0,0.0938590061892203,24.0,0.10534509078737506,31.0,1.1279478636450389,-0.2108500199362766,-0.22925938919990846,0.5290109960818185,0.010092360389014478,PUT,0.0
2020-04-13,0.23964438963152496,4.0,0.18267758283080404,11.0,0.09953240633670644,18.0,0.09911847834172356,25.0,0.9492349391702647,0.6047572327585334,-0.0400608432148056,0.3337522573740797,0.07908887680502691,PUT,0.0
2020-04-14,0.17406341513485335,10.0,0.07481547765932757,17.0,0.1193096896706575,24.0,0.15069225422669255,31.0,-0.4344806958037149,-1.1013399498262162,-0.15407704358340357,1.4726303893884756,0.02820955670696607,NO_TRADE,
2020-04-20,-0.004819331479108268,4.0,-0.010822851678734336,11.0,0.05809718471879093,18.0,0.03986304489589066,25.0,-1.418176467410309,-1.2429452993020642,-1.3560163546257318,-1.294473356213006,-0.0029132868730720376,CALL,0.0
2020-04-21,-0.00027858004450165383,10.0,0.06168599942924471,17.0,0.061447318266223676,24.0,0.09645901094944843,31.0,-0.827112799649379,-0.1929412240217281,-0.7765222918823188,-0.001638311735361707,0.040102490763913826,NO_TRADE,
2020-04-27,-0.04987605952976582,4.0,0.047817563431805044,11.0,0.06527436577832112,18.0,0.12007893238188451,25.0,-0.8064458838772348,0.11762992916987365,-0.3709536266664917,0.3905944585735757,0.02964665326055729,NO_TRADE,
2020-04-28,0.0035687746130256704,10.0,0.026572913036894973,17.0,0.10252407767770234,24.0,0.1104653474554292,31.0,0.658908234081491,-0.15008731062298286,1.4848272730029182,0.5221963979728081,0.05535598610211416,PUT,0.0
